CS 170 Spring 2020 Project Leaderboard

S

M

L
Input Number
Team Name
Type 2 or more characters for results.
Team no_one

Input Name	Rank
large-219	47
large-220	14
large-221	1
large-222	46
large-223	1
large-224	89
large-225	13
large-226	14
large-227	50
large-228	16
large-229	1
large-230	33
large-231	42
large-232	14
large-233	17
large-234	17
large-235	51
large-236	1
large-237	26
large-238	10
large-239	20
large-240	1
large-241	27
large-242	22
large-243	20
large-244	1
large-245	1
large-246	19
large-247	21
large-248	1
large-249	1
large-250	48
large-251	39
large-252	48
large-253	32
large-254	12
large-255	27
large-256	35
large-257	1
large-258	74
large-259	1
large-260	28
large-261	44
large-262	1
large-263	49
large-264	16
large-265	51
large-266	23
large-267	51
large-268	1
large-269	90
large-270	17
large-271	12
large-272	50
large-273	46
large-274	19
large-275	6
large-276	1
large-277	1
large-278	27
large-279	26
large-280	1
large-281	63
large-282	44
large-283	31
large-284	49
large-285	16
large-286	17
large-287	37
large-288	9
large-289	1
large-290	1
large-291	17
large-292	1
large-293	47
large-294	30
large-295	24
large-296	1
large-297	18
large-298	1
large-299	17
large-300	56
large-301	21
large-302	36
large-303	1
large-304	37
large-305	9
large-306	57
large-307	13
large-308	24
large-309	31
large-310	28
large-311	29
large-312	45
large-313	48
large-314	46
large-315	18
large-316	32
large-317	30
large-318	33
large-319	32
large-320	34
large-321	45
large-322	48
large-323	20
large-324	40
large-325	28
large-326	72
large-327	32
large-328	40
large-329	25
large-330	26
large-331	27
large-332	31
large-333	11
large-334	26
large-335	65
large-336	28
large-337	20
large-338	31
large-339	23
large-340	37
large-341	45
large-342	50
large-343	42
large-344	50
large-345	43
large-346	42
large-347	43
large-348	46
large-349	44
large-350	50
large-351	53
large-352	48
large-353	47
large-354	47
large-355	45
large-356	48
large-357	43
large-358	42
large-359	50
large-360	49
large-361	42
large-362	51
large-363	48
large-364	47
large-365	51
large-366	44
large-367	45
large-368	45
large-369	45
large-370	51
large-371	31
large-372	23
large-373	38
large-374	36
large-375	32
large-376	36
large-377	38
large-378	38
large-379	29
large-380	32
large-381	40
large-382	24
large-383	27
large-384	25
large-385	29
large-386	22
large-387	27
large-388	33
large-389	36
large-390	37
large-391	36
large-392	26
large-393	29
large-394	29
large-395	38
large-396	25
large-397	25
large-398	23
large-399	47
large-400	27
